distance_km,num_stops,pickup_hour,is_rush,rain,hub_dwell,eta_min
75.53348365062513,8,7,1,0,45.30343582218576,209.14262974613683
190.1921469755733,5,8,1,0,5.896184185017635,334.4038514298133
146.6667944204696,9,6,0,0,0.11950301210949739,278.7936984792505
120.13303835521029,6,17,1,0,3.8141550320926596,246.74700058769892
32.04770944804487,6,16,1,0,6.297046898081482,101.89290292916384
32.042909546904326,5,13,0,0,23.1394176882393,104.33345283992259
12.558638821471693,6,6,0,0,1.2929173399491065,53.8793594658392
173.3690530092121,3,11,0,0,25.821686418709945,309.43734611082243
120.62188733689855,4,16,1,0,28.159694732729996,238.34652031977825
141.90644298141305,8,7,1,1,10.243138076768696,252.87075955997224
5.096314364864687,6,19,0,1,2.551280893707607,37.30405542179941
194.01206058023686,7,16,1,1,7.693984030576964,386.0552197652985
166.65608551928392,8,16,1,0,16.963607658339726,306.9624047556007
43.255483024976954,3,8,1,0,4.432402217562222,78.12892134995566
37.183168474213026,8,14,0,1,23.571650170365764,139.89351024127603
37.49749746083333,6,17,1,0,0.9093457650985587,109.95784802223075
61.54420634894801,6,18,1,0,3.669912646230975,132.067144005922
105.42652989481533,8,14,0,0,49.905255820130854,253.96691031677435
86.95705870978104,7,11,0,1,8.767677790955078,171.36512147216825
58.95459889941034,6,12,0,0,8.924318882277934,119.4527878957818
122.75872604975352,1,10,0,0,2.742659108604335,202.350407241863
28.759278269756326,8,12,0,0,19.488159578974688,101.22294124749706
59.136785058508416,6,11,0,0,5.605093470622781,154.19513625400515
73.90600681544466,6,10,0,0,15.776394166299454,177.364296975332
91.75792685919015,7,8,1,0,16.643384753390368,178.27918405017712
157.2500163172097,9,19,0,0,1.921988790997813,295.537616791745
40.735082649513586,5,7,1,0,6.967293354243042,104.68925121066644
103.33265324430872,7,10,0,0,4.844931469560141,202.18739686538214
118.89049920354645,5,19,0,0,1.6823603808147005,219.2837802514545
10.243632131279547,2,13,0,0,1.3170042564152116,19.491665314628882
121.90142552838624,4,19,0,0,0.46881484285760644,200.3079580257021
34.934300613771015,5,10,0,0,12.105392447464352,89.91691078211413
13.945267004070624,6,8,1,1,15.239515199831025,85.65837603453257
189.8282219134133,5,15,0,0,6.375020205903498,317.37131419391375
193.1607745818373,6,8,1,0,8.299283848537934,334.2346513396329
161.87107227517578,3,10,0,0,3.038057306726074,253.51762727220338
61.61814006550077,3,19,0,0,12.545660902118911,139.17448450977938
20.43675068727039,6,14,0,0,8.769657946339274,87.53868462695134
137.1623722759192,6,19,0,0,21.39752297165101,267.1513507829594
88.59034625418066,6,13,0,0,13.710026340904554,178.93798854448312
25.285608734110987,7,12,0,0,0.19116988365172854,69.64512505586269
99.54020511214277,5,10,0,0,16.59941268036992,175.54130976059855
7.843315701928461,10,14,0,0,0.27504234017936324,97.83482593129085
181.95476001367763,8,17,1,1,16.811786096566614,361.92895678726813
52.49721633840337,3,7,1,0,43.63611331687192,171.69999067757777
132.84193458644242,4,11,0,0,6.556173992409978,215.5135498802629
63.03050414179278,5,12,0,0,2.573438077019044,100.18685079564997
104.49353621438435,7,12,0,0,0.09617317667208056,201.0026818676501
109.79534558931265,8,17,1,0,1.6286369750175358,258.27207612728165
37.786036649579884,5,16,1,0,7.00740025227971,81.54685242586235
193.94734092514716,6,18,1,0,16.429215054422826,357.57085250333546
155.25143184886178,6,9,1,0,20.5165585061954,294.9785227540905
187.96028937127363,4,7,1,1,11.506244703796193,327.02980008587394
179.07064273510213,4,6,0,0,0.9082332458843871,299.8173906451324
119.98209578340594,8,6,0,1,47.49498085265166,247.9922854009078
184.45297276960025,4,8,1,0,13.747768879421082,307.9511818942713
18.61000790833198,9,12,0,1,5.5592265219492365,71.77249805605813
40.000589621409894,9,16,1,0,16.802657387320853,143.9130435446831
10.000230493197074,6,10,0,0,8.881234402761478,59.5253887309248
65.7407358218896,6,12,0,0,9.232716482368637,144.4315750149862
78.34678064820692,4,17,1,1,35.50936140891973,176.66822562304083
54.99845732300528,4,18,1,0,16.15093847396778,119.56660576201297
